id,name,teachers,course_code,semester,program_code,program
134238,"79747_mt1009_004364_clc numerical methods (mt1009)_nguyễn anh khoa (clc_hk252) [cc03,cc06]",nguyễn anh khoa,mt1009,hk252,clc,"cc03,cc06"
134493,79747_lcn_dd_002976_pfiev lớp chủ nhiệm (lcn)_phan võ kim anh (pfiev_hk252),phan võ kim anh,,hk252,,
130104,"79747_iu4013_002278_cq đồ án chuyên ngành (iu4013)_đặng anh duy (cq_hk252) [a01,l01]",đặng anh duy,iu4013,hk252,cq,"a01,l01"
130770,"79747_iu2043_003665_cq công nghệ cơ khí 1 (iu2043)_lê hoài phương (cq_hk252) [l01,l02]",lê hoài phương,iu2043,hk252,cq,"l01,l02"
130726,"79747_as2071_001673_cq cơ học kỹ thuật (as2071)_trương tích thiện (cq_hk252) [a01,l03]",trương tích thiện,as2071,hk252,cq,"a01,l03"
134689,79747_lcn_dc_003661_clc student class (lcn)_lê nguyễn hải nam (clc_hk252),lê nguyễn hải nam,,hk252,clc,
134705,79747_lcn_vl_003644_clc student class (lcn)_nguyễn ngọc trí huỳnh (clc_hk252),nguyễn ngọc trí huỳnh,,hk252,clc,
135444,79747_sp1037_004291_dt tư tưởng hồ chí minh (sp1037)_nguyen phuong an (dt_hk252) [dt01],nguyễn phương an,sp1037,hk252,dt,dt01
131793,"79747_ci2002_004357_cq sức bền vật liệu, thí nghiệm (ci2002)_lê minh toàn (cq_hk252) [a01]",lê minh toàn,ci2002,hk252,cq,a01
134918,79747_lcn_ck_003665_vlvh lớp chủ nhiệm (lcn)_lê hoài phương (vlvh_hk252),lê hoài phương,,hk252,vlvh,
132993,79747_im2029_004353_cq thực tập nhận thức (im2029)_trần thủy tiên (cq_hk252) [l01],trần thủy tiên,im2029,hk252,cq,l01
131388,79747_co1028_004350_clc programming fundamentals (lab) (co1028)_nguyễn tuấn khôi (clc_hk252) [cc02],nguyễn tuấn khôi,co1028,hk252,clc,cc02
131469,79747_ee2036_003937_cq mạch điện tử (thí nghiệm) (ee2036)_nguyễn xuân xinh (cq_hk252) [l18],nguyễn xuân xinh,ee2036,hk252,cq,l18
135675,79747_ch4357_001916_clc capstone project (ch4357)_phạm hồ mỹ phương (clc_hk252) [cc01],phạm hồ mỹ phương,ch4357,hk252,clc,cc01
