code,name,credit,program,size,language,teacher,dayOfWeek,slot,room,branch,weeks
me4533,quản lý đơn hàng,3,l02,70/70,v,trần đại nguyên,thứ 6,- - - 4 5 - - - - - - - - - - -,h6-214,2,
as5103,tin học vật lý kỹ thuật,3,ch01,18/80,v,võ văn hoàng,thứ 7,- 2 3 4 - - - - - - - - - - - -,a4-508,1,
me3011,động lực học &điều khiển,3,a01_a01,29/60,v,nguyễn tấn tiến,,,,,
me3011,động lực học &điều khiển,3,cc01_cc01,41/60,v,nguyễn tấn tiến,,,,,
me3011,động lực học &điều khiển,3,cc02_cc02,46/60,v,phạm ơng tng,,,,,
me3011,động lực học &điều khiển,3,l01_l01,44/60,v,võ tường quân,,,,,
me3011,động lực học &điều khiển,3,l02_l02,49/60,v,phạm ơng tng,,,,,
me3011,động lực học &điều khiển,3,l03_l03,60/60,v,phùng trí công,,,,,
me3011,động lực học &điều khiển,3,l04_l04,59/60,v,nguyễn tấn tiến,,,,,
me3011,động lực học &điều khiển,3,tn01_tn01,34/60,v,võ tường quân,,,,,
ci5165,vật liệu và công nghệ xây dựng công trình giao thông,3,ch01,3/56,v,nguyễn mạnh tuấn,chưa biết,--,------,1,
ch5597,thực tập 1,3,ch01,45/80,v,lê vũ hà,chưa biết,--,------,1,
ge2057,đồ án tổngquan về địa nl,1,a01,0/900,v,phạm sơn tùng,chưa biết,--,------,1,
ge2057,đồ án tổngquan về địa nl,1,cc01,0/900,v,phạm sơn tùng,chưa biết,--,------,1,
ge2057,đồ án tổngquan về địa nl,1,l01,4/500,v,thái bá ngọc,chưa biết,--,------,2,
im5049,quản trị hệ kinh doanh điện tử,3,ch01,25/60,v,huỳnh bảo tuân,thứ 7,- - - - - - - - - 10 11 12 - - - -,b4-302,1,
ee5213,kiểm định thiết kế asic,3,ch01,34/80,v,trần hoàng linh,thứ 4,- - - - - - - - - - - - 13 14 15 -,b10-205,1,
en5089,ứng dụng công nghệ vật liệu trong kỹ thuật môi trường,3,ch01,7/60,v,nguyễn nhật huy,thứ 7,- - - - - - 7 8 9 - - - - - - -,b4-303,1,
ci7617,tiểu luận tổng quan,0,ns01,0/200,v,chưa/đang phân công,chưa biết,--,------,1,
co4315,đề cương luận văn tn,0,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
co4315,đề cương luận văn tn,0,l01,2/500,v,chưa/đang phân công,chưa biết,--,------,2,
co4315,đề cương luận văn tn,0,t01,0/500,v,chưa/đang phân công,chưa biết,--,------,1,
me4727,luận văn tốt nghiệp(ktck,9,a01,0/900,v,đoàn nhật minh,chưa biết,--,------,1,
me4727,luận văn tốt nghiệp(ktck,9,cc01,0/900,v,đoàn nhật minh,chưa biết,--,------,1,
me4727,luận văn tốt nghiệp(ktck,9,l01,1/900,v,đoàn nhật minh,chưa biết,--,------,2,
me4727,luận văn tốt nghiệp(ktck,9,t01,2/500,v,đoàn nhật minh,chưa biết,--,------,1,
ee5001,đồ án chuyên ngành,2,a01,4/500,v,chưa/đang phân công,chưa biết,--,------,1,
ee5001,đồ án chuyên ngành,2,cc01,0/900,v,chưa/đang phân công,chưa biết,--,------,1,
ee5001,đồ án chuyên ngành,2,l01,0/900,v,chưa/đang phân công,chưa biết,--,------,2,
